Elapsed_Time_s,Gaze_X_Left,Gaze_Y_Left,Gaze_X_Right,Gaze_Y_Right,Gaze_X_Average,Gaze_Y_Average,Pupil_Diameter_Left,Pupil_Diameter_Right,Validity_Left,Validity_Right,Looking_At_Interviewer,Eye_Movement_Type
7.230,0.5215955376625061,0.411653071641922,0.4920516908168793,0.35759979486465454,0.5068236142396927,0.38462643325328827,2.69952392578125,2.9892578125,1,1,False,Fixation
7.246,0.5197626352310181,0.4188934564590454,0.49242839217185974,0.35517236590385437,0.5060955137014389,0.3870329111814499,2.7015838623046875,2.975921630859375,1,1,False,Fixation
7.263,0.5196283459663391,0.4353702962398529,0.49167805910110474,0.35786232352256775,0.5056532025337219,0.3966163098812103,2.715850830078125,2.9778900146484375,1,1,False,Fixation
7.280,0.5150338411331177,0.4311991333961487,0.4941278100013733,0.35837310552597046,0.5045808255672455,0.39478611946105957,2.7122039794921875,2.9844818115234375,1,1,False,Fixation
7.296,0.5232834815979004,0.42781227827072144,0.48842853307724,0.3677569627761841,0.5058560073375702,0.39778462052345276,2.714447021484375,2.9889984130859375,1,1,False,Fixation
7.313,0.5257174372673035,0.4048572778701782,0.49085554480552673,0.36691245436668396,0.5082864910364151,0.3858848661184311,2.7267608642578125,2.951019287109375,1,1,False,Fixation
7.329,nan,nan,nan,nan,nan,nan,nan,nan,0,0,False,Saccade
7.346,nan,nan,nan,nan,nan,nan,nan,nan,0,0,False,Saccade
7.362,nan,nan,nan,nan,nan,nan,nan,nan,0,0,False,Saccade
7.379,nan,nan,nan,nan,nan,nan,nan,nan,0,0,False,Saccade
7.396,nan,nan,nan,nan,nan,nan,nan,nan,0,0,False,Saccade
7.412,0.7120558023452759,0.5423084497451782,nan,nan,nan,nan,2.0240631103515625,nan,1,0,False,Saccade
7.429,nan,nan,0.45065543055534363,0.3869813084602356,nan,nan,nan,2.721588134765625,0,1,False,Saccade
7.446,0.5365915894508362,0.3285926580429077,0.49742597341537476,0.4615825414657593,0.5170087814331055,0.3950875997543335,2.6956024169921875,2.73150634765625,1,1,False,Saccade
7.462,0.5288423895835876,0.3497682511806488,0.5252324342727661,0.3680329918861389,0.5270374119281769,0.35890062153339386,2.722015380859375,3.0850067138671875,1,1,False,Fixation
7.479,0.5279220342636108,0.34324800968170166,0.5144942402839661,0.24946877360343933,0.5212081372737885,0.2963583916425705,2.724639892578125,3.06207275390625,1,1,False,Fixation
7.496,0.5280342698097229,0.3407587707042694,0.5152679085731506,0.2589096426963806,0.5216510891914368,0.299834206700325,2.7047882080078125,3.0493927001953125,1,1,False,Fixation
7.512,0.5305347442626953,0.33899298310279846,0.5152930617332458,0.27618637681007385,0.5229139029979706,0.30758967995643616,2.701416015625,3.0222320556640625,1,1,False,Fixation
7.529,0.5285145044326782,0.3396550416946411,0.5095060467720032,0.27675187587738037,0.5190102756023407,0.30820345878601074,2.7141265869140625,3.0133209228515625,1,1,False,Fixation
7.546,0.5269460678100586,0.34150514006614685,0.5058271884918213,0.27717024087905884,0.5163866281509399,0.30933769047260284,2.7015838623046875,2.9990081787109375,1,1,False,Fixation
7.562,0.5318135619163513,0.34277209639549255,0.507454514503479,0.2703351676464081,0.5196340382099152,0.3065536320209503,2.6960906982421875,2.994049072265625,1,1,False,Fixation
7.579,0.5297086834907532,0.34250715374946594,0.5078545212745667,0.2711426913738251,0.5187816023826599,0.3068249225616455,2.7054901123046875,2.9918060302734375,1,1,False,Fixation
7.596,0.532694399356842,0.3410085439682007,0.5067495703697205,0.2778362035751343,0.5197219848632812,0.3094223737716675,2.693084716796875,2.9859466552734375,1,1,False,Fixation
7.612,0.5258472561836243,0.3397696614265442,0.505180299282074,0.2774941623210907,0.5155137777328491,0.30863191187381744,2.7047576904296875,2.98736572265625,1,1,False,Fixation
7.629,0.5263776779174805,0.33580872416496277,0.5074232220649719,0.27739423513412476,0.5169004499912262,0.30660147964954376,2.7202911376953125,2.9760894775390625,1,1,False,Fixation
7.645,0.5356087684631348,0.33081284165382385,0.5056332349777222,0.271602988243103,0.5206210017204285,0.30120791494846344,2.71917724609375,2.9815216064453125,1,1,False,Fixation
7.662,0.5347928404808044,0.3395516276359558,0.5030154585838318,0.28190863132476807,0.5189041495323181,0.31073012948036194,2.7227935791015625,2.982574462890625,1,1,False,Fixation
7.679,0.5270573496818542,0.33227747678756714,0.5039011240005493,0.2826366722583771,0.5154792368412018,0.3074570745229721,2.71514892578125,2.989044189453125,1,1,False,Fixation
7.695,0.5264193415641785,0.32695990800857544,0.501502275466919,0.2841881811618805,0.5139608085155487,0.30557404458522797,2.6960296630859375,2.9757232666015625,1,1,False,Fixation
7.712,0.5096448063850403,0.32396867871284485,0.4880373477935791,0.2805633842945099,0.4988410770893097,0.30226603150367737,2.7078399658203125,2.9792327880859375,1,1,False,Fixation
7.729,0.49204325675964355,0.31157565116882324,0.4615451991558075,0.25945228338241577,0.4767942279577255,0.2855139672756195,2.7154693603515625,2.99139404296875,1,1,False,Fixation
7.745,0.48816755414009094,0.3240557909011841,0.45886093378067017,0.2729274034500122,0.47351424396038055,0.29849159717559814,2.723419189453125,3.0120697021484375,1,1,False,Fixation
7.762,0.48777392506599426,0.3343285322189331,0.46096184849739075,0.2626500129699707,0.4743678867816925,0.2984892725944519,2.7384490966796875,2.9908599853515625,1,1,False,Fixation
7.779,0.4890337586402893,0.3313230276107788,0.46360886096954346,0.2498418390750885,0.4763213098049164,0.29058243334293365,2.7500152587890625,3.00701904296875,1,1,False,Fixation
7.795,0.4889712333679199,0.3112770617008209,0.4587195813655853,0.25297707319259644,0.4738454073667526,0.2821270674467087,2.69873046875,3.0109100341796875,1,1,False,Fixation
